NoCuts;-nan(ind)
SetCuts;-nan(ind)
OrdCuts;-nan(ind)
SetOrdCuts;-nan(ind)
FinCuts;-nan(ind)
SetFinCuts;-nan(ind)
OrdFinCuts;-nan(ind)
SetOrdFinCuts;-nan(ind)
PreCuts;-nan(ind)
SetPreCuts;-nan(ind)
OrdPreCuts;-nan(ind)
SetOrdPreCuts;-nan(ind)
FinPreCuts;-nan(ind)
SetFinPreCuts;-nan(ind)
OrdFinPreCuts;-nan(ind)
SetOrdFinPreCuts;-nan(ind)
ResCuts;198.868
SetResCuts;189.798
OrdResCuts;258.708
SetOrdResCuts;204.059
FinResCuts;234.332
SetFinResCuts;187.428
OrdFinResCuts;300.264
SetOrdFinResCuts;203.189
PreResCuts;-nan(ind)
SetPreResCuts;-nan(ind)
OrdPreResCuts;-nan(ind)
SetOrdPreResCuts;-nan(ind)
FinPreResCuts;-nan(ind)
SetFinPreResCuts;-nan(ind)
OrdFinPreResCuts;-nan(ind)
SetOrdFinPreResCuts;-nan(ind)
ActCuts;-nan(ind)
SetActCuts;-nan(ind)
OrdActCuts;-nan(ind)
SetOrdActCuts;-nan(ind)
FinActCuts;-nan(ind)
SetFinActCuts;-nan(ind)
OrdFinActCuts;-nan(ind)
SetOrdFinActCuts;-nan(ind)
PreActCuts;-nan(ind)
SetPreActCuts;-nan(ind)
OrdPreActCuts;-nan(ind)
SetOrdPreActCuts;-nan(ind)
FinPreActCuts;-nan(ind)
SetFinPreActCuts;-nan(ind)
OrdFinPreActCuts;-nan(ind)
SetOrdFinPreActCuts;-nan(ind)
ResActCuts;290.644
SetResActCuts;195.949
OrdResActCuts;299.677
SetOrdResActCuts;300.13
FinResActCuts;290.69
SetFinResActCuts;195.553
OrdFinResActCuts;299.689
SetOrdFinResActCuts;299.984
PreResActCuts;-nan(ind)
SetPreResActCuts;-nan(ind)
OrdPreResActCuts;-nan(ind)
SetOrdPreResActCuts;-nan(ind)
FinPreResActCuts;-nan(ind)
SetFinPreResActCuts;-nan(ind)
OrdFinPreResActCuts;-nan(ind)
SetOrdFinPreResActCuts;-nan(ind)
BroCuts;-nan(ind)
SetBroCuts;-nan(ind)
OrdBroCuts;-nan(ind)
SetOrdBroCuts;-nan(ind)
FinBroCuts;-nan(ind)
SetFinBroCuts;-nan(ind)
OrdFinBroCuts;-nan(ind)
SetOrdFinBroCuts;-nan(ind)
PreBroCuts;-nan(ind)
SetPreBroCuts;-nan(ind)
OrdPreBroCuts;-nan(ind)
SetOrdPreBroCuts;-nan(ind)
FinPreBroCuts;-nan(ind)
SetFinPreBroCuts;-nan(ind)
OrdFinPreBroCuts;-nan(ind)
SetOrdFinPreBroCuts;-nan(ind)
ResBroCuts;179.891
SetResBroCuts;108.54
OrdResBroCuts;146.2
SetOrdResBroCuts;72.331
FinResBroCuts;180.442
SetFinResBroCuts;109.761
OrdFinResBroCuts;145.298
SetOrdFinResBroCuts;71.745
PreResBroCuts;-nan(ind)
SetPreResBroCuts;-nan(ind)
OrdPreResBroCuts;-nan(ind)
SetOrdPreResBroCuts;-nan(ind)
FinPreResBroCuts;-nan(ind)
SetFinPreResBroCuts;-nan(ind)
OrdFinPreResBroCuts;-nan(ind)
SetOrdFinPreResBroCuts;-nan(ind)
ActBroCuts;-nan(ind)
SetActBroCuts;-nan(ind)
OrdActBroCuts;-nan(ind)
SetOrdActBroCuts;-nan(ind)
FinActBroCuts;-nan(ind)
SetFinActBroCuts;-nan(ind)
OrdFinActBroCuts;-nan(ind)
SetOrdFinActBroCuts;-nan(ind)
PreActBroCuts;-nan(ind)
SetPreActBroCuts;-nan(ind)
OrdPreActBroCuts;-nan(ind)
SetOrdPreActBroCuts;-nan(ind)
FinPreActBroCuts;-nan(ind)
SetFinPreActBroCuts;-nan(ind)
OrdFinPreActBroCuts;-nan(ind)
SetOrdFinPreActBroCuts;-nan(ind)
ResActBroCuts;82.4565
SetResActBroCuts;156.625
OrdResActBroCuts;119.669
SetOrdResActBroCuts;90.2485
FinResActBroCuts;81.637
SetFinResActBroCuts;155.611
OrdFinResActBroCuts;120.03
SetOrdFinResActBroCuts;90.086
PreResActBroCuts;-nan(ind)
SetPreResActBroCuts;-nan(ind)
OrdPreResActBroCuts;-nan(ind)
SetOrdPreResActBroCuts;-nan(ind)
FinPreResActBroCuts;-nan(ind)
SetFinPreResActBroCuts;-nan(ind)
OrdFinPreResActBroCuts;-nan(ind)
SetOrdFinPreResActBroCuts;-nan(ind)
DowCuts;-nan(ind)
SetDowCuts;-nan(ind)
OrdDowCuts;-nan(ind)
SetOrdDowCuts;-nan(ind)
FinDowCuts;-nan(ind)
SetFinDowCuts;-nan(ind)
OrdFinDowCuts;-nan(ind)
SetOrdFinDowCuts;-nan(ind)
PreDowCuts;-nan(ind)
SetPreDowCuts;-nan(ind)
OrdPreDowCuts;-nan(ind)
SetOrdPreDowCuts;-nan(ind)
FinPreDowCuts;-nan(ind)
SetFinPreDowCuts;-nan(ind)
OrdFinPreDowCuts;-nan(ind)
SetOrdFinPreDowCuts;-nan(ind)
ResDowCuts;140.322
SetResDowCuts;73.9295
OrdResDowCuts;105.01
SetOrdResDowCuts;180.589
FinResDowCuts;140.673
SetFinResDowCuts;73.375
OrdFinResDowCuts;105.494
SetOrdFinResDowCuts;180.362
PreResDowCuts;-nan(ind)
SetPreResDowCuts;-nan(ind)
OrdPreResDowCuts;-nan(ind)
SetOrdPreResDowCuts;-nan(ind)
FinPreResDowCuts;-nan(ind)
SetFinPreResDowCuts;-nan(ind)
OrdFinPreResDowCuts;-nan(ind)
SetOrdFinPreResDowCuts;-nan(ind)
ActDowCuts;-nan(ind)
SetActDowCuts;-nan(ind)
OrdActDowCuts;-nan(ind)
SetOrdActDowCuts;-nan(ind)
FinActDowCuts;-nan(ind)
SetFinActDowCuts;-nan(ind)
OrdFinActDowCuts;-nan(ind)
SetOrdFinActDowCuts;-nan(ind)
PreActDowCuts;-nan(ind)
SetPreActDowCuts;-nan(ind)
OrdPreActDowCuts;-nan(ind)
SetOrdPreActDowCuts;-nan(ind)
FinPreActDowCuts;-nan(ind)
SetFinPreActDowCuts;-nan(ind)
OrdFinPreActDowCuts;-nan(ind)
SetOrdFinPreActDowCuts;-nan(ind)
ResActDowCuts;180.051
SetResActDowCuts;180.093
OrdResActDowCuts;174.077
SetOrdResActDowCuts;73.9895
