0;SetCuts FinAll TEST0;167.458;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1
1;SetOrdCuts FinAll TEST0;154.046;0;1;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1
2;SetFinCuts FinAll TEST0;82.378;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1
3;SetOrdFinCuts FinAll TEST0;64.906;0;1;0;1;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1
4;SetPreCuts FinAll TEST0;180.446;0;1;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1
5;SetOrdPreCuts FinAll TEST0;180.983;0;1;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1
6;SetFinPreCuts FinAll TEST0;180.014;0;1;1;0;0;1;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1
7;SetOrdFinPreCuts FinAll TEST0;179.997;0;1;0;1;0;1;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1
8;SetResCuts FinAll TEST0;162.002;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1
9;SetOrdResCuts FinAll TEST0;162.281;0;1;0;1;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1
10;SetFinResCuts FinAll TEST0;161.562;0;1;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1
11;SetOrdFinResCuts FinAll TEST0;161.004;0;1;0;1;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1
12;SetPreResCuts FinAll TEST0;180.065;0;1;1;0;1;0;0;1;0;1;1;0;1;0;1;0;1;0;1;0;1
13;SetOrdPreResCuts FinAll TEST0;176.681;0;1;0;1;1;0;0;1;0;1;1;0;1;0;1;0;1;0;1;0;1
14;SetFinPreResCuts FinAll TEST0;180.502;0;1;1;0;0;1;0;1;0;1;1;0;1;0;1;0;1;0;1;0;1
15;SetOrdFinPreResCuts FinAll TEST0;173.662;0;1;0;1;0;1;0;1;0;1;1;0;1;0;1;0;1;0;1;0;1
16;SetFaiCuts FinAll TEST0;180.231;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1
17;SetOrdFaiCuts FinAll TEST0;179.934;0;1;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1
18;SetFinFaiCuts FinAll TEST0;90.052;0;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1
19;SetOrdFinFaiCuts FinAll TEST0;91.001;0;1;0;1;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1
20;SetPreFaiCuts FinAll TEST0;69.186;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;1
21;SetOrdPreFaiCuts FinAll TEST0;129.921;0;1;0;1;1;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;1
22;SetFinPreFaiCuts FinAll TEST0;62.615;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;1;0;1
23;SetOrdFinPreFaiCuts FinAll TEST0;91.385;0;1;0;1;0;1;0;1;1;0;1;0;0;1;1;0;1;0;1;0;1
24;SetResFaiCuts FinAll TEST0;57.539;0;1;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1
25;SetOrdResFaiCuts FinAll TEST0;70.586;0;1;0;1;1;0;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1
26;SetFinResFaiCuts FinAll TEST0;57.632;0;1;1;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1
27;SetOrdFinResFaiCuts FinAll TEST0;69.602;0;1;0;1;0;1;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1
28;SetPreResFaiCuts FinAll TEST0;78.761;0;1;1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;0;1;0;1
29;SetOrdPreResFaiCuts FinAll TEST0;89.699;0;1;0;1;1;0;0;1;0;1;1;0;0;1;1;0;1;0;1;0;1
30;SetFinPreResFaiCuts FinAll TEST0;79.005;0;1;1;0;0;1;0;1;0;1;1;0;0;1;1;0;1;0;1;0;1
31;SetOrdFinPreResFaiCuts FinAll TEST0;90.087;0;1;0;1;0;1;0;1;0;1;1;0;0;1;1;0;1;0;1;0;1
32;SetCorCuts FinAll TEST0;169.941;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1
33;SetOrdCorCuts FinAll TEST0;179.999;0;1;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1
34;SetFinCorCuts FinAll TEST0;81.441;0;1;1;0;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1
35;SetOrdFinCorCuts FinAll TEST0;90.574;0;1;0;1;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1
36;SetPreCorCuts FinAll TEST0;167.075;0;1;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1
37;SetOrdPreCorCuts FinAll TEST0;179.916;0;1;0;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1
38;SetFinPreCorCuts FinAll TEST0;166.903;0;1;1;0;0;1;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1
39;SetOrdFinPreCorCuts FinAll TEST0;180.183;0;1;0;1;0;1;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1
40;SetResCorCuts FinAll TEST0;138.351;0;1;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;1
41;SetOrdResCorCuts FinAll TEST0;180.093;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;1
42;SetFinResCorCuts FinAll TEST0;137.416;0;1;1;0;0;1;1;0;0;1;1;0;1;0;0;1;1;0;1;0;1
43;SetOrdFinResCorCuts FinAll TEST0;180.189;0;1;0;1;0;1;1;0;0;1;1;0;1;0;0;1;1;0;1;0;1
44;SetPreResCorCuts FinAll TEST0;172.965;0;1;1;0;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;1
45;SetOrdPreResCorCuts FinAll TEST0;179.956;0;1;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;1
46;SetFinPreResCorCuts FinAll TEST0;173.312;0;1;1;0;0;1;0;1;0;1;1;0;1;0;0;1;1;0;1;0;1
47;SetOrdFinPreResCorCuts FinAll TEST0;179.583;0;1;0;1;0;1;0;1;0;1;1;0;1;0;0;1;1;0;1;0;1
48;SetFaiCorCuts FinAll TEST0;144.991;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1
49;SetOrdFaiCorCuts FinAll TEST0;170.788;0;1;0;1;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1
50;SetFinFaiCorCuts FinAll TEST0;56.115;0;1;1;0;0;1;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1
51;SetOrdFinFaiCorCuts FinAll TEST0;81.732;0;1;0;1;0;1;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1
52;SetPreFaiCorCuts FinAll TEST0;91.441;0;1;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;1;0;1
53;SetOrdPreFaiCorCuts FinAll TEST0;69.708;0;1;0;1;1;0;0;1;1;0;1;0;0;1;0;1;1;0;1;0;1
54;SetFinPreFaiCorCuts FinAll TEST0;90.288;0;1;1;0;0;1;0;1;1;0;1;0;0;1;0;1;1;0;1;0;1
55;SetOrdFinPreFaiCorCuts FinAll TEST0;66.949;0;1;0;1;0;1;0;1;1;0;1;0;0;1;0;1;1;0;1;0;1
56;SetResFaiCorCuts FinAll TEST0;90.357;0;1;1;0;1;0;1;0;0;1;1;0;0;1;0;1;1;0;1;0;1
57;SetOrdResFaiCorCuts FinAll TEST0;81.459;0;1;0;1;1;0;1;0;0;1;1;0;0;1;0;1;1;0;1;0;1
58;SetFinResFaiCorCuts FinAll TEST0;90.155;0;1;1;0;0;1;1;0;0;1;1;0;0;1;0;1;1;0;1;0;1
59;SetOrdFinResFaiCorCuts FinAll TEST0;81.064;0;1;0;1;0;1;1;0;0;1;1;0;0;1;0;1;1;0;1;0;1
60;SetPreResFaiCorCuts FinAll TEST0;65.468;0;1;1;0;1;0;0;1;0;1;1;0;0;1;0;1;1;0;1;0;1
61;SetOrdPreResFaiCorCuts FinAll TEST0;90.78;0;1;0;1;1;0;0;1;0;1;1;0;0;1;0;1;1;0;1;0;1
62;SetFinPreResFaiCorCuts FinAll TEST0;65.428;0;1;1;0;0;1;0;1;0;1;1;0;0;1;0;1;1;0;1;0;1
63;SetOrdFinPreResFaiCorCuts FinAll TEST0;90.498;0;1;0;1;0;1;0;1;0;1;1;0;0;1;0;1;1;0;1;0;1
64;SetDowCuts FinAll TEST0;140.858;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1
65;SetOrdDowCuts FinAll TEST0;179.94;0;1;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1
66;SetFinDowCuts FinAll TEST0;53.752;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1
67;SetOrdFinDowCuts FinAll TEST0;90.373;0;1;0;1;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1
68;SetPreDowCuts FinAll TEST0;180.079;0;1;1;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1
69;SetOrdPreDowCuts FinAll TEST0;179.743;0;1;0;1;1;0;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1
70;SetFinPreDowCuts FinAll TEST0;180.178;0;1;1;0;0;1;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1
71;SetOrdFinPreDowCuts FinAll TEST0;179.973;0;1;0;1;0;1;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1
72;SetResDowCuts FinAll TEST0;90.904;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1
73;SetOrdResDowCuts FinAll TEST0;76.554;0;1;0;1;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1
74;SetFinResDowCuts FinAll TEST0;90.385;0;1;1;0;0;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1
75;SetOrdFinResDowCuts FinAll TEST0;75.089;0;1;0;1;0;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1
76;SetPreResDowCuts FinAll TEST0;92.584;0;1;1;0;1;0;0;1;0;1;1;0;1;0;1;0;0;1;1;0;1
