Name;Objective;Duration;Availability (time);Availability (energy);Prod losses (annual);Direct costs (annual);Vessel costs (annual);Repair costs (annual);Technician costs (annual);Vessels;Pattern;Turbines;Months
NT_Bi_Ra_36;13766619,600000;0,148000;95,838600;95,862698;2130383,866667;2047536,000000;925000,000000;846966,666667;275569,333333;NT;Bi;Ra;36;
NT_Co_Ba_18;6304430,400000;0,048000;96,362301;96,366392;1797744,800000;2330484,000000;770000,000000;1213800,000000;346684,000000;NT;Co;Ba;18;
NT_Co_Ba_24;9870532,000000;0,071000;96,208001;96,260149;2025600,200000;2630917,000000;761250,000000;1529650,000000;340017,000000;NT;Co;Ba;24;
NT_Co_Ba_36;14235250,400000;0,140000;96,241521;96,261377;1849092,666667;2715907,333333;770000,000000;1577000,000000;368907,333333;NT;Co;Ba;36;
NT_Co_Eq_18;5895032,800000;0,047000;96,618151;96,625272;1615379,733333;2082593,333333;665000,000000;1106466,666667;311126,666667;NT;Co;Eq;18;
NT_Co_Eq_24;9704248,600000;0,063000;96,229353;96,261507;1887277,400000;2617967,500000;735000,000000;1532950,000000;350017,500000;NT;Co;Eq;24;
NT_Co_Eq_36;12893271,400000;0,125000;96,525383;96,537971;1663941,733333;2475595,666667;752500,000000;1365300,000000;357795,666667;NT;Co;Eq;36;
NT_Co_Ha_18;7010963,800000;0,051000;96,318268;96,317398;1901160,000000;2634307,333333;840000,000000;1425400,000000;368907,333333;NT;Co;Ha;18;
NT_Co_Ha_24;9372011,200000;0,069000;96,372020;96,369460;1875994,800000;2617102,000000;787500,000000;1456250,000000;373352,000000;NT;Co;Ha;24;
NT_Co_Ha_36;16222219,000000;0,134000;95,935696;95,936321;2055748,266667;3162087,666667;857500,000000;1884566,666667;420021,000000;NT;Co;Ha;36;
NT_Co_Ra_18;4720216,200000;0,045000;96,843259;96,854868;1353840,800000;1670614,000000;595000,000000;795600,000000;280014,000000;NT;Co;Ra;18;
NT_Co_Ra_24;6858018,200000;0,059000;96,104461;96,074213;1376037,600000;1917898,500000;630000,000000;984550,000000;303348,500000;NT;Co;Ra;24;
NT_Co_Ra_36;14098338,400000;0,135000;95,392835;95,422883;1819483,200000;2627396,000000;700000,000000;1562933,333333;364462,666667;NT;Co;Ra;36;
NT_Wa_Ba_18;6227149,000000;0,044000;96,741602;96,731427;1751208,800000;2132815,333333;735000,000000;1091133,333333;306682,000000;NT;Wa;Ba;18;
NT_Wa_Ba_24;9314152,800000;0,075000;96,369921;96,419582;1833147,800000;2543801,000000;761250,000000;1429200,000000;353351,000000;NT;Wa;Ba;24;
NT_Wa_Ba_36;14866185,000000;0,128000;96,127652;96,149624;1928711,600000;2750152,333333;752500,000000;1617633,333333;380019,000000;NT;Wa;Ba;36;
NT_Wa_Eq_18;5593403,800000;0,048000;96,846218;96,878928;1623339,733333;1834615,333333;700000,000000;827933,333333;306682,000000;NT;Wa;Eq;18;
NT_Wa_Eq_24;7795905,800000;0,059000;96,869117;96,943620;1566757,800000;2095233,500000;682500,000000;1076050,000000;336683,500000;NT;Wa;Eq;24;
NT_Wa_Eq_36;14531026,800000;0,137000;96,101545;96,088933;1817031,066667;2777194,666667;787500,000000;1651900,000000;337794,666667;NT;Wa;Eq;36;
NT_Wa_Ha_18;6813560,800000;0,052000;96,577546;96,604379;1758060,533333;2563108,000000;805000,000000;1375866,666667;382241,333333;NT;Wa;Ha;18;
NT_Wa_Ha_24;10174471,200000;0,070000;96,254210;96,219938;1950742,000000;2776986,000000;761250,000000;1629050,000000;386686,000000;NT;Wa;Ha;24;
NT_Wa_Ha_36;16359598,400000;0,129000;95,977459;96,041651;1995320,400000;3169875,333333;840000,000000;1934300,000000;395575,333333;NT;Wa;Ha;36;
NT_Wa_Ra_18;4119461,200000;0,050000;97,362152;97,397018;1162773,333333;1321569,333333;560000,000000;486000,000000;275569,333333;NT;Wa;Ra;18;
NT_Wa_Ra_24;7430130,000000;0,067000;96,586383;96,602763;1470955,000000;1906015,000000;603750,000000;1002250,000000;300015,000000;NT;Wa;Ra;24;
NT_Wa_Ra_36;12229721,600000;0,139000;96,311281;96,325514;1589232,666667;2260527,333333;735000,000000;1201066,666667;324460,666667;NT;Wa;Ra;36;
