Name;Objective;Duration;Availability (time);Availability (energy);Prod losses (annual);Direct costs (annual);Vessel costs (annual);Repair costs (annual);Technician costs (annual);Turbines;Dur;Vessels;Percent;Size
Ba_2SL_Cr_5_80;10197655,895566;0,039000;95,439797;95,518834;2155459,697721;3335992,000000;1970000,000000;1081533,333333;284458,666667;Ba;2SL;Cr;5;80;
Ba_2SL_CT_10_120;21440864,821556;0,050000;92,614764;92,485862;5580352,939116;4866598,666667;2805000,000000;1643800,000000;417798,666667;Ba;2SL;CT;10;120;
Ba_2SL_CT_10_150;23514945,606636;0,080000;93,665847;93,644705;5842811,943109;5967580,000000;3380000,000000;2098666,666667;488913,333333;Ba;2SL;CT;10;150;
Ba_2SL_CT_10_200;31067771,062864;0,071000;93,924239;93,936311;7496305,838060;7779586,000000;4390000,000000;2780666,666667;608919,333333;Ba;2SL;CT;10;200;
Ba_2SL_CT_10_80;12537386,878452;0,065000;94,291914;94,442285;2778404,793403;3258083,333333;1900000,000000;1024733,333333;333350,000000;Ba;2SL;CT;10;80;
Ba_2SL_CT_15_120;17655268,068204;0,052000;94,145398;94,203513;4288091,469289;4592065,333333;2545000,000000;1629266,666667;417798,666667;Ba;2SL;CT;15;120;
Ba_2SL_CT_15_150;25495959,526430;0,028000;92,917737;92,981309;6517016,967316;5380868,000000;2965000,000000;1944733,333333;471134,666667;Ba;2SL;CT;15;150;
Ba_2SL_CT_15_200;29281575,240946;0,051000;93,867981;93,870493;7366702,467417;7567474,666667;4235000,000000;2728000,000000;604474,666667;Ba;2SL;CT;15;200;
Ba_2SL_CT_15_80;12591887,186244;0,056000;94,220476;94,247455;2838715,542517;3519150,000000;2055000,000000;1130800,000000;333350,000000;Ba;2SL;CT;15;80;
Ba_2SL_CT_5_120;19096196,911968;0,041000;93,618762;93,597403;4717195,539808;4760865,333333;2650000,000000;1693066,666667;417798,666667;Ba;2SL;CT;5;120;
Ba_2SL_CT_5_150;23388369,075108;0,052000;93,858212;93,889070;5610462,138177;5561757,333333;3085000,000000;1996733,333333;480024,000000;Ba;2SL;CT;5;150;
Ba_2SL_CT_5_200;26862004,550782;0,093000;94,719060;94,765635;6330685,766851;7574096,666667;4165000,000000;2809066,666667;600030,000000;Ba;2SL;CT;5;200;
Ba_2SL_CT_5_80;15898684,946384;0,057000;93,100387;93,116636;3462651,578021;3943417,333333;2385000,000000;1211733,333333;346684,000000;Ba;2SL;CT;5;80;
Ba_2SL_NF_10_120;15409383,506140;0,049000;95,174437;95,083677;3468598,470323;5600352,666667;2650000,000000;2563666,666667;386686,000000;Ba;2SL;NF;10;120;
Ba_2SL_NF_10_150;21175611,420434;0,046000;94,346109;94,355204;4977662,575916;7026622,666667;3155000,000000;3418266,666667;453356,000000;Ba;2SL;NF;10;150;
Ba_2SL_NF_10_200;28768913,953340;0,052000;94,770745;94,880811;6224600,410212;8681384,666667;4165000,000000;3934133,333333;582251,333333;Ba;2SL;NF;10;200;
Ba_2SL_NF_10_80;11116249,626958;0,045000;94,758639;94,636905;2501237,796444;4263104,000000;1935000,000000;2025866,666667;302237,333333;Ba;2SL;NF;10;80;
Ba_2SL_NF_15_120;15519764,430414;0,043000;95,039679;95,116226;3452454,441633;5811174,666667;2580000,000000;2848933,333333;382241,333333;Ba;2SL;NF;15;120;
Ba_2SL_NF_15_150;21811783,522284;0,050000;94,439724;94,465791;5076643,543155;6984422,666667;3155000,000000;3376066,666667;453356,000000;Ba;2SL;NF;15;150;
Ba_2SL_NF_15_200;26400993,921042;0,050000;94,966138;94,975259;6002527,657401;8748762,000000;3940000,000000;4235400,000000;573362,000000;Ba;2SL;NF;15;200;
Ba_2SL_NF_15_80;10677093,498912;0,072000;95,076329;94,918200;2330945,745977;4288126,000000;1900000,000000;2090333,333333;297792,666667;Ba;2SL;NF;15;80;
Ba_2SL_NF_5_120;16038013,086620;0,055000;94,480946;94,440377;4045872,655087;4471152,000000;2425000,000000;1672800,000000;373352,000000;Ba;2SL;NF;5;120;
Ba_2SL_NF_5_150;20501958,725032;0,046000;94,843898;94,879066;4698072,192392;5948756,000000;3345000,000000;2150400,000000;453356,000000;Ba;2SL;NF;5;150;
Ba_2SL_NF_5_200;29264587,187240;0,043000;94,409400;94,441338;6824271,932536;7556184,666667;4270000,000000;2703933,333333;582251,333333;Ba;2SL;NF;5;200;
Ba_2SL_NF_5_80;11571188,891178;0,042000;94,810573;94,912747;2478165,814920;3212791,333333;1830000,000000;1111666,666667;271124,666667;Ba;2SL;NF;5;80;
Ba_2SL_NO_0_120;15394282,736112;0,054000;95,207506;95,179174;3521704,952300;4668464,000000;2615000,000000;1662333,333333;391130,666667;Ba;2SL;NO;0;120;
Ba_2SL_NO_0_150;23480995,339956;0,050000;93,985189;94,033701;5513775,587204;6098690,666667;3535000,000000;2083666,666667;480024,000000;Ba;2SL;NO;0;150;
Ba_2SL_NO_0_200;28668336,698902;0,060000;94,470773;94,534394;6675552,957401;7618318,666667;4270000,000000;2752733,333333;595585,333333;Ba;2SL;NO;0;200;
Ba_2SL_NO_0_80;13618012,608444;0,070000;93,188294;93,374380;3238976,017840;3413128,000000;1970000,000000;1105333,333333;337794,666667;Ba;2SL;NO;0;80;
Ba_2SL_NT_10_120;13245812,302814;0,044000;95,811831;95,770413;2964198,575436;4853845,333333;1855000,000000;2536600,000000;462245,333333;Ba;2SL;NT;10;120;
Ba_2SL_NT_10_150;18807816,765526;0,043000;95,026079;95,040365;4453651,033651;6284958,666667;2585000,000000;3193266,666667;506692,000000;Ba;2SL;NT;10;150;
Ba_2SL_NT_10_200;24860035,829332;0,047000;95,347017;95,378348;5519215,799768;8489809,333333;3820000,000000;4038666,666667;631142,666667;Ba;2SL;NT;10;200;
Ba_2SL_NT_10_80;11043479,287916;0,033000;94,587867;94,347104;2670101,438536;3767240,000000;1365000,000000;2046666,666667;355573,333333;Ba;2SL;NT;10;80;
Ba_2SL_NT_15_120;12449892,481450;0,034000;96,207330;96,255631;2647175,089420;5237823,333333;2045000,000000;2726133,333333;466690,000000;Ba;2SL;NT;15;120;
Ba_2SL_NT_15_150;17436487,420824;0,046000;95,481868;95,521132;3912297,699053;6774560,000000;2705000,000000;3536200,000000;533360,000000;Ba;2SL;NT;15;150;
Ba_2SL_NT_15_200;21285775,714134;0,050000;96,029214;96,051007;4623554,577105;8531320,666667;3630000,000000;4265733,333333;635587,333333;Ba;2SL;NT;15;200;
Ba_2SL_NT_15_80;8661990,672834;0,043000;95,946378;95,856016;1920704,531559;3566752,000000;1400000,000000;1793400,000000;373352,000000;Ba;2SL;NT;15;80;
Ba_2SL_NT_5_120;20239035,810366;0,060000;93,460697;93,409058;4913887,118975;4869176,666667;2770000,000000;1676933,333333;422243,333333;Ba;2SL;NT;5;120;
Ba_2SL_NT_5_150;22122484,331466;0,076000;94,551903;94,665119;4950717,833825;5785846,666667;3155000,000000;2141933,333333;488913,333333;Ba;2SL;NT;5;150;
Ba_2SL_NT_5_200;30356058,838696;0,076000;93,893243;93,987965;7396011,852277;7196496,000000;4010000,000000;2599800,000000;586696,000000;Ba;2SL;NT;5;200;
Ba_2SL_NT_5_80;12120097,435436;0,056000;94,224643;94,251740;2747343,204567;3476172,000000;2055000,000000;1092266,666667;328905,333333;Ba;2SL;NT;5;80;
Ba_2SS_Al_10_120;16448567,678432;0,041000;95,291167;95,182318;3315652,142574;4645273,714286;1740000,000000;2573828,571429;331445,142857;Ba;2SS;Al;10;120;
Ba_2SS_Al_10_150;22518124,451774;0,039000;94,518839;94,531464;4844014,996323;5894610,857143;2515714,285714;2971257,142857;407639,428571;Ba;2SS;Al;10;150;
Ba_2SS_Al_10_200;26873454,519304;0,061000;95,669321;95,706444;5053966,894425;7832006,857143;3604285,714286;3709600,000000;518121,142857;Ba;2SS;Al;10;200;
Ba_2SS_Al_10_80;10093265,392560;0,049000;96,063182;96,029092;1750026,088414;3223974,285714;1230000,000000;1746342,857143;247631,428571;Ba;2SS;Al;10;80;
Ba_2SS_Al_15_120;14129571,154638;0,067000;96,209625;96,237313;2578980,077659;4958645,142857;1740000,000000;2887200,000000;331445,142857;Ba;2SS;Al;15;120;
Ba_2SS_Al_15_150;18737880,506364;0,062000;95,785261;95,733756;3629089,611837;6240762,857143;2262857,142857;3577885,714286;400020,000000;Ba;2SS;Al;15;150;
Ba_2SS_Al_15_200;21089763,704186;0,042000;96,463205;96,484024;4029231,594823;7518788,000000;2802857,142857;4194000,000000;521930,857143;Ba;2SS;Al;15;200;
Ba_2SS_Al_15_80;8827300,866792;0,054000;96,475047;96,443541;1604593,106550;3185669,142857;1260000,000000;1685657,142857;240012,000000;Ba;2SS;Al;15;80;
Ba_2SS_Al_5_120;22698984,751974;0,060000;93,266245;93,340076;4930050,781291;4374149,142857;2584285,714286;1473657,142857;316206,285714;Ba;2SS;Al;5;120;
Ba_2SS_Al_5_150;27035289,468450;0,086000;93,564444;93,591695;6000608,106872;5151486,285714;3017142,857143;1741942,857143;392400,571429;Ba;2SS;Al;5;150;
Ba_2SS_Al_5_200;32597483,425716;0,060000;95,467711;95,376647;5180270,170815;10564693,142857;6248571,428571;3786571,428571;529550,285714;Ba;2SS;Al;5;200;
Ba_2SS_Al_5_80;11170437,317258;0,088000;95,183316;95,147630;2322691,942089;2668277,714286;1615714,285714;831600,000000;220963,428571;Ba;2SS;Al;5;80;
Ba_2SS_Cr_10_120;19198937,915418;0,098000;94,361110;94,383920;4084258,325802;4301596,571429;2494285,714286;1494914,285714;312396,571429;Ba;2SS;Cr;10;120;
