Name;Objective;Duration;Availability (time);Availability (energy);Prod losses (annual);Direct costs (annual);Vessel costs (annual);Repair costs (annual);Technician costs (annual);Turbines;Dur;Vessels;Percent;Size
Ba_Ye_CT_5_80;7425588,830844;0,026000;95,514378;95,334236;2553126,066666;2344646,000000;1620000,000000;471300,000000;253346,000000;Ba;Ye;CT;5;80;
Ba_Ye_NF_10_120;8022775,557144;0,052000;96,407152;96,251293;3042581,349298;3046276,000000;1935000,000000;924600,000000;186676,000000;Ba;Ye;NF;10;120;
Ba_Ye_NF_10_150;9783112,980530;0,028000;96,328996;96,186418;3862347,128252;3360511,000000;2145000,000000;995500,000000;220011,000000;Ba;Ye;NF;10;150;
Ba_Ye_NF_10_200;12844560,684902;0,032000;96,808170;96,694659;4443436,563744;4979048,000000;3292500,000000;1393200,000000;293348,000000;Ba;Ye;NF;10;200;
Ba_Ye_NF_10_80;5456870,568676;0,025000;96,948857;96,884177;1668064,133732;2614640,000000;1957500,000000;523800,000000;133340,000000;Ba;Ye;NF;10;80;
Ba_Ye_NF_15_120;6979531,249790;0,024000;97,089601;97,038189;2334396,641522;3889509,000000;2115000,000000;1594500,000000;180009,000000;Ba;Ye;NF;15;120;
Ba_Ye_NF_15_150;8932681,184128;0,027000;96,844888;96,839295;3045492,908980;4947045,000000;2482500,000000;2231200,000000;233345,000000;Ba;Ye;NF;15;150;
Ba_Ye_NF_15_200;13423517,809868;0,024000;96,579475;96,450276;4790039,147318;6185015,000000;3292500,000000;2592500,000000;300015,000000;Ba;Ye;NF;15;200;
Ba_Ye_NF_15_80;4642440,864068;0,025000;97,047852;97,025734;1521587,174348;2794173,000000;1567500,000000;1100000,000000;126673,000000;Ba;Ye;NF;15;80;
Ba_Ye_NF_5_120;9228868,936450;0,024000;96,182279;95,929703;3413450,919640;2911510,000000;1987500,000000;724000,000000;200010,000000;Ba;Ye;NF;5;120;
Ba_Ye_NF_5_150;11801449,000018;0,027000;95,894478;95,782341;4217300,730918;3991145,000000;2820000,000000;937800,000000;233345,000000;Ba;Ye;NF;5;150;
Ba_Ye_NF_5_200;15437597,399688;0,018000;96,215725;96,008812;5573428,119590;4534715,000000;3060000,000000;1174700,000000;300015,000000;Ba;Ye;NF;5;200;
Ba_Ye_NF_5_80;5964182,139524;0,017000;95,940502;95,721338;2358034,766784;1865540,000000;1335000,000000;397200,000000;133340,000000;Ba;Ye;NF;5;80;
Ba_Ye_NO_0_120;8994327,145752;0,028000;96,312632;96,119708;3202076,077514;2921313,000000;1935000,000000;726300,000000;260013,000000;Ba;Ye;NO;0;120;
Ba_Ye_NO_0_150;11344166,186560;0,028000;96,059446;95,893982;4188272,566240;3866981,000000;2692500,000000;887800,000000;286681,000000;Ba;Ye;NO;0;150;
Ba_Ye_NO_0_200;16732254,000464;0,029000;96,189563;95,958552;5727375,922290;5089183,000000;3525000,000000;1237500,000000;326683,000000;Ba;Ye;NO;0;200;
Ba_Ye_NO_0_80;6478129,690782;0,027000;95,777824;95,714537;2253924,779766;2487379,000000;1725000,000000;515700,000000;246679,000000;Ba;Ye;NO;0;80;
Ba_Ye_NT_10_120;9222619,952758;0,035000;95,954253;95,748731;3464887,720102;3183548,000000;1987500,000000;902700,000000;293348,000000;Ba;Ye;NT;10;120;
Ba_Ye_NT_10_150;9182651,089168;0,017000;96,846358;96,753222;3299817,895680;2980549,000000;1575000,000000;1092200,000000;313349,000000;Ba;Ye;NT;10;150;
Ba_Ye_NT_10_200;12327463,070358;0,019000;96,662530;96,603635;4521124,655570;4619618,000000;2437500,000000;1822100,000000;360018,000000;Ba;Ye;NT;10;200;
Ba_Ye_NT_10_80;5830929,338402;0,023000;96,582231;96,457478;1932931,643086;2257182,000000;1387500,000000;563000,000000;306682,000000;Ba;Ye;NT;10;80;
Ba_Ye_NT_15_120;8641694,643378;0,017000;96,032086;96,010669;3107114,943330;3892951,000000;1417500,000000;2122100,000000;353351,000000;Ba;Ye;NT;15;120;
Ba_Ye_NT_15_150;8629779,409420;0,018000;96,813936;96,754739;3189636,096010;4194985,000000;1680000,000000;2148300,000000;366685,000000;Ba;Ye;NT;15;150;
Ba_Ye_NT_15_200;11232659,570114;0,017000;96,848449;96,759878;4314120,278836;5110119,000000;2152500,000000;2577600,000000;380019,000000;Ba;Ye;NT;15;200;
Ba_Ye_NT_15_80;3767023,388082;0,022000;97,512505;97,511981;1257577,178854;2288316,000000;1050000,000000;918300,000000;320016,000000;Ba;Ye;NT;15;80;
Ba_Ye_NT_5_120;8322663,348904;0,026000;96,455911;96,347306;2947478,106912;3178680,000000;2167500,000000;744500,000000;266680,000000;Ba;Ye;NT;5;120;
Ba_Ye_NT_5_150;10722144,698082;0,035000;96,166487;95,986313;4092115,763688;4158681,000000;2872500,000000;999500,000000;286681,000000;Ba;Ye;NT;5;150;
Ba_Ye_NT_5_200;17424304,365466;0,033000;95,622325;95,356859;6452737,309894;5234317,000000;3577500,000000;1316800,000000;340017,000000;Ba;Ye;NT;5;200;
Ba_Ye_NT_5_80;5640941,014516;0,029000;96,923498;96,778110;1772029,194656;2398379,000000;1672500,000000;479200,000000;246679,000000;Ba;Ye;NT;5;80;
Eq_2SL_Al_10_120;12808060,776164;0,044000;95,719487;95,599389;2814072,207516;4696106,666667;2025000,000000;2315533,333333;355573,333333;Eq;2SL;Al;10;120;
Eq_2SL_Al_10_150;15729258,329012;0,032000;95,615271;95,536830;3563168,931073;5216020,000000;2115000,000000;2701000,000000;400020,000000;Eq;2SL;Al;10;150;
Eq_2SL_Al_10_200;19559800,129504;0,045000;95,845105;95,790021;4408026,977108;7106314,666667;3210000,000000;3380733,333333;515581,333333;Eq;2SL;Al;10;200;
Eq_2SL_Al_10_80;9041326,278022;0,037000;95,400602;95,232222;1957209,435767;3289058,000000;1190000,000000;1827933,333333;271124,666667;Eq;2SL;Al;10;80;
Eq_2SL_Al_15_120;12516242,285146;0,046000;95,960065;95,946801;2644254,967763;4699084,000000;1835000,000000;2517400,000000;346684,000000;Eq;2SL;Al;15;120;
Eq_2SL_Al_15_150;14650940,826908;0,028000;96,084881;96,134767;3083256,970913;5657709,333333;2270000,000000;2978800,000000;408909,333333;Eq;2SL;Al;15;150;
Eq_2SL_Al_15_200;19048630,177540;0,032000;95,872033;95,828600;4496947,297420;6581492,000000;2485000,000000;3589800,000000;506692,000000;Eq;2SL;Al;15;200;
Eq_2SL_Al_15_80;8701383,278784;0,065000;95,534976;95,431404;1858026,339576;3348724,666667;1225000,000000;1852600,000000;271124,666667;Eq;2SL;Al;15;80;
Eq_2SL_Al_5_120;14173236,009126;0,054000;95,515022;95,613977;3100092,428539;3823794,000000;2180000,000000;1319333,333333;324460,666667;Eq;2SL;Al;5;120;
Eq_2SL_Al_5_150;20776184,820168;0,040000;94,032224;93,979385;4877841,812520;5339487,333333;3135000,000000;1791133,333333;413354,000000;Eq;2SL;Al;5;150;
Eq_2SL_Al_5_200;26085773,917536;0,048000;94,807620;94,772424;5869964,168769;6756358,666667;3850000,000000;2399666,666667;506692,000000;Eq;2SL;Al;5;200;
Eq_2SL_Al_5_80;9490324,091166;0,040000;95,606467;95,647044;1936117,575851;2782901,333333;1605000,000000;929000,000000;248901,333333;Eq;2SL;Al;5;80;
Eq_2SL_Cr_10_120;16955354,776070;0,048000;94,162856;94,119709;3944974,259141;4431484,000000;2595000,000000;1489800,000000;346684,000000;Eq;2SL;Cr;10;120;
Eq_2SL_Cr_10_150;16598729,192076;0,042000;95,573772;95,572888;3679065,127259;4973330,666667;2875000,000000;1707200,000000;391130,666667;Eq;2SL;Cr;10;150;
Eq_2SL_Cr_10_200;24316528,558252;0,058000;95,022269;95,053213;5569124,086565;6074558,000000;3295000,000000;2286200,000000;493358,000000;Eq;2SL;Cr;10;200;
Eq_2SL_Cr_10_80;12714276,383002;0,044000;93,223527;93,095203;3063385,057140;2929746,000000;1725000,000000;951400,000000;253346,000000;Eq;2SL;Cr;10;80;
Eq_2SL_Cr_15_120;16147009,166900;0,031000;94,427686;94,351651;3786304,243655;4004283,333333;2250000,000000;1420933,333333;333350,000000;Eq;2SL;Cr;15;120;
Eq_2SL_Cr_15_150;18526151,751376;0,052000;95,061940;95,078341;4133376,299433;5112596,666667;2945000,000000;1789800,000000;377796,666667;Eq;2SL;Cr;15;150;
Eq_2SL_Cr_15_200;26578565,476240;0,045000;94,321275;94,270325;6469972,633988;6421668,666667;3625000,000000;2312200,000000;484468,666667;Eq;2SL;Cr;15;200;
Eq_2SL_Cr_15_80;8699244,521448;0,037000;95,437523;95,449053;2012956,123620;2511234,000000;1415000,000000;860666,666667;235567,333333;Eq;2SL;Cr;15;80;
Eq_2SL_Cr_5_120;15496382,783214;0,041000;95,019889;95,050261;3403594,347480;4154572,666667;2405000,000000;1407333,333333;342239,333333;Eq;2SL;Cr;5;120;
Eq_2SL_Cr_5_150;17101079,797706;0,057000;95,613491;95,651418;3636287,617268;4927064,000000;2875000,000000;1660933,333333;391130,666667;Eq;2SL;Cr;5;150;
Eq_2SL_Cr_5_200;24620708,641280;0,053000;95,079871;95,060899;5579222,082129;6107291,333333;3330000,000000;2283933,333333;493358,000000;Eq;2SL;Cr;5;200;
Eq_2SL_Cr_5_80;8636462,726578;0,042000;95,539192;95,595917;1885968,382747;2785145,333333;1640000,000000;905133,333333;240012,000000;Eq;2SL;Cr;5;80;
Eq_2SL_CT_10_120;18645819,907062;0,060000;93,587804;93,491924;4504893,286613;4158886,000000;2370000,000000;1402200,000000;386686,000000;Eq;2SL;CT;10;120;
Eq_2SL_CT_10_150;18460644,003776;0,043000;95,102667;95,119357;4107023,322936;4968821,333333;2875000,000000;1667133,333333;426688,000000;Eq;2SL;CT;10;150;
Eq_2SL_CT_10_200;22841932,937062;0,056000;95,127643;95,090404;5355512,395369;6633404,666667;3780000,000000;2315600,000000;537804,666667;Eq;2SL;CT;10;200;
Eq_2SL_CT_10_80;9188634,558728;0,047000;95,300688;95,250047;2037854,966232;2791926,666667;1605000,000000;875800,000000;311126,666667;Eq;2SL;CT;10;80;
Eq_2SL_CT_15_120;16038070,455306;0,061000;94,761989;94,761402;3621064,781300;4145752,666667;2335000,000000;1424066,666667;386686,000000;Eq;2SL;CT;15;120;
Eq_2SL_CT_15_150;17139395,211940;0,033000;95,018431;95,000750;4156156,057051;4533421,333333;2460000,000000;1646733,333333;426688,000000;Eq;2SL;CT;15;150;
Eq_2SL_CT_15_200;25567506,397834;0,065000;94,593675;94,566558;6068215,848407;6486848,666667;3590000,000000;2367933,333333;528915,333333;Eq;2SL;CT;15;200;
Eq_2SL_CT_15_80;9136102,205000;0,041000;95,606485;95,748472;1943941,017673;2578193,333333;1415000,000000;852066,666667;311126,666667;Eq;2SL;CT;15;80;
Eq_2SL_CT_5_120;17876991,709446;0,031000;94,118721;94,083817;4117202,466827;4279308,000000;2475000,000000;1422066,666667;382241,333333;Eq;2SL;CT;5;120;
Eq_2SL_CT_5_150;19927863,168356;0,054000;94,209425;94,178070;4780933,083547;4746998,666667;2615000,000000;1714200,000000;417798,666667;Eq;2SL;CT;5;150;
Eq_2SL_CT_5_200;27032193,085138;0,057000;94,378054;94,323131;6280125,943451;6697138,000000;3780000,000000;2379333,333333;537804,666667;Eq;2SL;CT;5;200;
Eq_2SL_CT_5_80;11322794,554834;0,055000;94,270162;94,159643;2553778,148607;2848549,333333;1675000,000000;853533,333333;320016,000000;Eq;2SL;CT;5;80;
Eq_2SL_NF_10_120;13915228,348644;0,045000;95,317774;95,218323;3098663,188667;5245662,000000;2405000,000000;2489533,333333;351128,666667;Eq;2SL;NF;10;120;
Eq_2SL_NF_10_150;18025325,354612;0,049000;94,999629;94,861722;4061543,708596;6005775,333333;2685000,000000;2925200,000000;395575,333333;Eq;2SL;NF;10;150;
Eq_2SL_NF_10_200;23576135,206708;0,044000;94,927636;94,837374;5565842,697797;7897181,333333;3695000,000000;3686600,000000;515581,333333;Eq;2SL;NF;10;200;
Eq_2SL_NF_10_80;9068817,432464;0,050000;95,372973;95,254374;1821655,066693;3435723,333333;1570000,000000;1621266,666667;244456,666667;Eq;2SL;NF;10;80;
Eq_2SL_NF_15_120;10966282,071096;0,034000;96,162213;96,198333;2460891,930005;4394284,000000;1835000,000000;2212600,000000;346684,000000;Eq;2SL;NF;15;120;
Eq_2SL_NF_15_150;15584919,176626;0,054000;95,733846;95,721791;3432453,312767;5882708,000000;2425000,000000;3075466,666667;382241,333333;Eq;2SL;NF;15;150;
Eq_2SL_NF_15_200;21629245,736716;0,055000;95,444597;95,360490;4922952,365200;7712358,666667;3280000,000000;3925666,666667;506692,000000;Eq;2SL;NF;15;200;
Eq_2SL_NF_15_80;8586937,778320;0,060000;95,411560;95,249315;1886751,581052;3496479,333333;1690000,000000;1553133,333333;253346,000000;Eq;2SL;NF;15;80;
Eq_2SL_NF_5_120;16484862,846290;0,051000;94,556574;94,581635;3734180,682343;4374306,000000;2595000,000000;1437066,666667;342239,333333;Eq;2SL;NF;5;120;
Eq_2SL_NF_5_150;21064306,186156;0,044000;94,192403;94,185331;4896951,956624;4912975,333333;2840000,000000;1677400,000000;395575,333333;Eq;2SL;NF;5;150;
Eq_2SL_NF_5_200;27918025,519776;0,052000;94,130735;94,160944;6666302,662236;6572002,666667;3815000,000000;2259200,000000;497802,666667;Eq;2SL;NF;5;200;
Eq_2SL_NF_5_80;11140136,239650;0,049000;93,877741;93,787193;2718339,311829;3040012,000000;1795000,000000;1005000,000000;240012,000000;Eq;2SL;NF;5;80;
Eq_2SL_NO_0_120;19529576,707254;0,048000;92,475783;92,300705;5215388,387885;4167930,000000;2405000,000000;1385133,333333;377796,666667;Eq;2SL;NO;0;120;
Eq_2SL_NO_0_150;18492321,930514;0,035000;94,511604;94,423843;4500405,679029;4720932,666667;2565000,000000;1724800,000000;431132,666667;Eq;2SL;NO;0;150;
Eq_2SL_NO_0_200;23805954,653128;0,075000;95,388183;95,443656;5112389,318591;6532271,333333;3555000,000000;2439466,666667;537804,666667;Eq;2SL;NO;0;200;
Eq_2SL_NO_0_80;10111253,150206;0,052000;95,362807;95,395268;2052411,903076;2928437,333333;1760000,000000;866200,000000;302237,333333;Eq;2SL;NO;0;80;
Eq_2SL_NT_10_120;11867867,537624;0,048000;96,137781;96,086025;2498180,587289;4607976,666667;1870000,000000;2315733,333333;422243,333333;Eq;2SL;NT;10;120;
Eq_2SL_NT_10_150;16178607,716634;0,053000;95,419457;95,325559;3697593,268041;5621468,000000;2340000,000000;2810333,333333;471134,666667;Eq;2SL;NT;10;150;
Eq_2SL_NT_10_200;23360772,628298;0,036000;94,923861;94,888957;5607824,234480;7120095,333333;2970000,000000;3576733,333333;573362,000000;Eq;2SL;NT;10;200;
Eq_2SL_NT_10_80;8349881,815672;0,049000;95,726800;95,547489;1811668,776179;3173860,666667;1260000,000000;1589400,000000;324460,666667;Eq;2SL;NT;10;80;
Eq_2SL_NT_15_120;14179199,830074;0,036000;95,314013;95,162613;3178016,895049;5018154,666667;1835000,000000;2756466,666667;426688,000000;Eq;2SL;NT;15;120;
Eq_2SL_NT_15_150;14903001,218046;0,051000;95,850059;95,754738;3247182,171893;5917002,000000;2375000,000000;3057533,333333;484468,666667;Eq;2SL;NT;15;150;
Eq_2SL_NT_15_200;18935575,762854;0,052000;96,051274;96,031541;4249154,186521;7439318,000000;3055000,000000;3802066,666667;582251,333333;Eq;2SL;NT;15;200;
Eq_2SL_NT_15_80;7436121,448772;0,048000;96,112777;96,093697;1504064,976293;3216883,333333;1275000,000000;1608533,333333;333350,000000;Eq;2SL;NT;15;80;
Eq_2SL_NT_5_120;13619091,644042;0,052000;95,794234;95,889748;2774282,948257;4129530,000000;2335000,000000;1416733,333333;377796,666667;Eq;2SL;NT;5;120;
Eq_2SL_NT_5_150;16028595,975818;0,050000;95,779782;95,801475;3458211,592911;5069776,666667;2875000,000000;1772533,333333;422243,333333;Eq;2SL;NT;5;150;
Eq_2SL_NT_5_200;25872526,618316;0,073000;94,620974;94,614481;6106624,861471;6758182,666667;3850000,000000;2365933,333333;542249,333333;Eq;2SL;NT;5;200;
Eq_2SL_NT_5_80;10917007,519800;0,048000;95,003482;95,027326;2234635,149036;2926770,666667;1795000,000000;829533,333333;302237,333333;Eq;2SL;NT;5;80;
Eq_2SS_Al_10_120;15330948,267272;0,046000;95,593227;95,601121;2932109,858250;4397558,285714;1782857,142857;2306114,285714;308586,857143;Eq;2SS;Al;10;120;
Eq_2SS_Al_10_150;19948932,590012;0,038000;95,324340;95,348164;3939429,843888;4990933,142857;1920000,000000;2693771,428571;377161,714286;Eq;2SS;Al;10;150;
Eq_2SS_Al_10_200;24871389,703750;0,039000;95,368589;95,323154;5432902,889854;6314976,000000;2725714,285714;3116857,142857;472404,571429;Eq;2SS;Al;10;200;
Eq_2SS_Al_10_80;10363854,948792;0,048000;95,099461;94,869834;2010838,410437;2942582,857143;1170000,000000;1544000,000000;228582,857143;Eq;2SS;Al;10;80;
Eq_2SS_Al_15_120;12161818,280946;0,039000;96,479349;96,451512;2261334,246843;4372358,285714;1560000,000000;2503771,428571;308586,857143;Eq;2SS;Al;15;120;
Eq_2SS_Al_15_150;16245351,473914;0,040000;96,417854;96,404276;2877630,587369;5522152,571429;2082857,142857;3054514,285714;384781,142857;Eq;2SS;Al;15;150;
Eq_2SS_Al_15_200;22071588,132720;0,057000;96,121062;96,102899;4311948,433333;7029414,285714;2828571,428571;3724628,571429;476214,285714;Eq;2SS;Al;15;200;
Eq_2SS_Al_15_80;7902233,337746;0,064000;96,250274;96,203088;1367614,102590;2911706,857143;1110000,000000;1569314,285714;232392,571429;Eq;2SS;Al;15;80;
Eq_2SS_Al_5_120;19349010,135054;0,059000;94,200121;94,239253;4088758,448658;3606910,285714;2048571,428571;1257371,428571;300967,428571;Eq;2SS;Al;5;120;
Eq_2SS_Al_5_150;24514044,035180;0,051000;94,020992;93,976323;5422932,062435;4821352,000000;2867142,857143;1580857,142857;373352,000000;Eq;2SS;Al;5;150;
Eq_2SS_Al_5_200;31319860,435362;0,060000;94,029121;94,119609;6917783,967551;6404746,857143;3792857,142857;2150914,285714;460975,428571;Eq;2SS;Al;5;200;
Eq_2SS_Al_5_80;9821256,657920;0,065000;95,639424;95,607734;1979951,094808;2457876,571429;1495714,285714;764057,142857;198105,142857;Eq;2SS;Al;5;80;
Eq_2SS_Cr_10_120;18702124,278658;0,059000;94,331135;94,380618;3961260,994808;3720204,571429;2181428,571429;1256857,142857;281918,857143;Eq;2SS;Cr;10;120;
Eq_2SS_Cr_10_150;23290521,722620;0,066000;94,286701;94,350190;4958705,835369;4948093,142857;2970000,000000;1639028,571429;339064,571429;Eq;2SS;Cr;10;150;
Eq_2SS_Cr_10_200;30454130,247778;0,056000;94,909578;94,974574;6244977,229960;6205527,428571;3600000,000000;2152171,428571;453356,000000;Eq;2SS;Cr;10;200;
Eq_2SS_Cr_10_80;13476956,016296;0,059000;93,931857;93,978472;2735845,071531;2684543,428571;1628571,428571;854057,142857;201914,857143;Eq;2SS;Cr;10;80;
Eq_2SS_Cr_15_120;17252944,263096;0,049000;95,081322;95,163506;3448028,950632;3933995,428571;2374285,714286;1270171,428571;289538,285714;Eq;2SS;Cr;15;120;
Eq_2SS_Cr_15_150;22380456,492814;0,055000;94,485493;94,466898;4580726,925190;4815674,285714;2897142,857143;1575657,142857;342874,285714;Eq;2SS;Cr;15;150;
Eq_2SS_Cr_15_200;27785014,293384;0,062000;95,302144;95,350989;5465659,171870;5952536,571429;3377142,857143;2129657,142857;445736,571429;Eq;2SS;Cr;15;200;
Eq_2SS_Cr_15_80;11353343,072900;0,047000;94,315800;94,361307;2525669,707099;2376409,714286;1405714,285714;776400,000000;194295,428571;Eq;2SS;Cr;15;80;
Eq_2SS_Cr_5_120;17334620,881340;0,058000;94,655257;94,746338;3637373,485771;3891385,714286;2301428,571429;1304228,571429;285728,571429;Eq;2SS;Cr;5;120;
Eq_2SS_Cr_5_150;22055937,712336;0,051000;95,069601;95,031753;4455043,365373;4653580,000000;2764285,714286;1527371,428571;361922,857143;Eq;2SS;Cr;5;150;
Eq_2SS_Cr_5_200;29545295,104666;0,076000;94,409300;94,468707;6402084,919105;6201585,142857;3570000,000000;2166800,000000;464785,142857;Eq;2SS;Cr;5;200;
Eq_2SS_Cr_5_80;11948148,387202;0,064000;95,385839;95,405387;2090634,680777;2944181,714286;1894285,714286;844171,428571;205724,571429;Eq;2SS;Cr;5;80;
Eq_2SS_CT_10_120;18712511,040168;0,058000;94,118452;94,071070;4095805,415230;4032055,428571;2404285,714286;1281085,714286;346684,000000;Eq;2SS;CT;10;120;
Eq_2SS_CT_10_150;23340600,202178;0,094000;94,426019;94,496577;4870717,469927;4575201,714286;2541428,571429;1618514,285714;415258,857143;Eq;2SS;CT;10;150;
Eq_2SS_CT_10_200;30871286,571642;0,073000;94,557792;94,626219;6586943,092742;6424025,142857;3690000,000000;2231142,857143;502882,285714;Eq;2SS;CT;10;200;
Eq_2SS_CT_10_80;10840987,075366;0,048000;95,432458;95,465249;2054154,857552;2432585,142857;1435714,285714;722571,428571;274299,428571;Eq;2SS;CT;10;80;
Eq_2SS_CT_15_120;15743260,804862;0,063000;95,719658;95,766122;2963252,527624;4001522,857143;2344285,714286;1295314,285714;361922,857143;Eq;2SS;CT;15;120;
Eq_2SS_CT_15_150;23834103,461038;0,069000;94,552315;94,544834;4823914,358105;5170002,285714;3030000,000000;1713314,285714;426688,000000;Eq;2SS;CT;15;150;
Eq_2SS_CT_15_200;30279178,793134;0,072000;94,432511;94,526835;6527899,288574;6096387,428571;3377142,857143;2208742,857143;510501,714286;Eq;2SS;CT;15;200;
Eq_2SS_CT_15_80;14414881,879616;0,062000;93,392526;93,476649;3067007,349173;2777480,571429;1701428,571429;797942,857143;278109,142857;Eq;2SS;CT;15;80;
Eq_2SS_CT_5_120;19159104,920454;0,054000;94,364888;94,498319;4060190,288869;3977941,714286;2374285,714286;1245542,857143;358113,142857;Eq;2SS;CT;5;120;
Eq_2SS_CT_5_150;22377139,781536;0,071000;94,635669;94,722459;4677968,521157;4564496,571429;2571428,571429;1585428,571429;407639,428571;Eq;2SS;CT;5;150;
Eq_2SS_CT_5_200;30211960,399074;0,069000;94,350782;94,438948;6564862,511605;6292577,714286;3600000,000000;2185885,714286;506692,000000;Eq;2SS;CT;5;200;
Eq_2SS_CT_5_80;14186861,141288;0,059000;92,943528;92,880051;3155712,399061;2984090,285714;1881428,571429;820742,857143;281918,857143;Eq;2SS;CT;5;80;
Eq_2SS_NF_10_120;15071310,071648;0,049000;95,853248;95,881134;2695045,955609;4765577,142857;2241428,571429;2219371,428571;304777,142857;Eq;2SS;NF;10;120;
Eq_2SS_NF_10_150;19392708,153678;0,053000;95,540412;95,538975;3718252,982665;5406551,428571;2674285,714286;2370342,857143;361922,857143;Eq;2SS;NF;10;150;
Eq_2SS_NF_10_200;26526347,340334;0,067000;95,470816;95,576271;4973513,345239;7076042,857143;3214285,714286;3385542,857143;476214,285714;Eq;2SS;NF;10;200;
Eq_2SS_NF_10_80;10389094,658876;0,053000;95,427070;95,248993;1923957,163029;3424086,857143;1658571,428571;1552171,428571;213344,000000;Eq;2SS;NF;10;80;
Eq_2SS_NF_15_120;12844185,993550;0,064000;96,347540;96,300602;2261106,065343;4542680,571429;1988571,428571;2276000,000000;278109,142857;Eq;2SS;NF;15;120;
Eq_2SS_NF_15_150;16809884,635696;0,059000;96,201946;96,298042;2911048,818218;6016208,571429;2571428,571429;3082857,142857;361922,857143;Eq;2SS;NF;15;150;
Eq_2SS_NF_15_200;23021156,347400;0,070000;95,939420;95,984265;4327453,280389;7786100,000000;3347142,857143;3962742,857143;476214,285714;Eq;2SS;NF;15;200;
Eq_2SS_NF_15_80;9283178,701598;0,058000;95,941275;95,877419;1620540,594978;3253857,714286;1478571,428571;1573371,428571;201914,857143;Eq;2SS;NF;15;80;
Eq_2SS_NF_5_120;17637439,315668;0,084000;94,629005;94,668234;3678500,578015;3943252,571429;2404285,714286;1249428,571429;289538,285714;Eq;2SS;NF;5;120;
Eq_2SS_NF_5_150;25308649,543798;0,051000;93,639733;93,774936;5555746,406774;4633408,571429;2734285,714286;1537200,000000;361922,857143;Eq;2SS;NF;5;150;
Eq_2SS_NF_5_200;36074007,436534;0,077000;94,767884;94,621966;6101594,974902;10063033,714286;5918571,428571;3660628,571429;483833,714286;Eq;2SS;NF;5;200;
Eq_2SS_NF_5_80;13889566,034888;0,047000;93,022027;92,921398;3159998,667415;2811439,428571;1791428,571429;802857,142857;217153,714286;Eq;2SS;NF;5;80;
Eq_2SS_NO_0_120;18924675,346784;0,064000;94,102249;94,193899;4001135,339490;3914246,285714;2301428,571429;1258514,285714;354303,428571;Eq;2SS;NO;0;120;
Eq_2SS_NO_0_150;25481288,121722;0,069000;93,431244;93,471554;5799099,098840;4672020,571429;2704285,714286;1556285,714286;411449,142857;Eq;2SS;NO;0;150;
Eq_2SS_NO_0_200;32004787,755788;0,073000;93,825519;93,859614;7142116,156437;6498444,571429;3750000,000000;2237942,857143;510501,714286;Eq;2SS;NO;0;200;
Eq_2SS_NO_0_80;15284506,622104;0,060000;92,766513;92,726526;3441585,849768;2592528,000000;1555714,285714;762514,285714;274299,428571;Eq;2SS;NO;0;80;
Eq_2SS_NT_10_120;15358230,141456;0,057000;95,800146;95,808324;2696655,156455;4688458,285714;1915714,285714;2368914,285714;403829,714286;Eq;2SS;NT;10;120;
Eq_2SS_NT_10_150;15516648,013240;0,039000;96,488699;96,489485;2858031,117469;5007336,571429;2112857,142857;2448742,857143;445736,571429;Eq;2SS;NT;10;150;
Eq_2SS_NT_10_200;26759476,895280;0,045000;95,299424;95,355585;5392713,701664;6853437,142857;2815714,285714;3485314,285714;552408,571429;Eq;2SS;NT;10;200;
Eq_2SS_NT_10_80;8118212,850366;0,051000;96,567772;96,529000;1427973,850929;2703768,000000;1140000,000000;1251371,428571;312396,571429;Eq;2SS;NT;10;80;
Eq_2SS_NT_15_120;12920785,678888;0,055000;96,593652;96,610204;2234412,204902;4740572,571429;1692857,142857;2643885,714286;403829,714286;Eq;2SS;NT;15;120;
Eq_2SS_NT_15_150;15780258,193100;0,052000;96,438728;96,412004;2839243,360574;5679223,428571;2215714,285714;2994914,285714;468594,857143;Eq;2SS;NT;15;150;
Eq_2SS_NT_15_200;24929036,522742;0,069000;95,285930;95,289407;5207369,691065;7376352,000000;2592857,142857;4219657,142857;563837,714286;Eq;2SS;NT;15;200;
Eq_2SS_NT_15_80;7211429,167548;0,057000;96,880856;96,936158;1237336,938899;2760720,571429;1140000,000000;1304514,285714;316206,285714;Eq;2SS;NT;15;80;
Eq_2SS_NT_5_120;18620041,642738;0,056000;94,704704;94,753820;3701735,102149;4058265,714286;2434285,714286;1262057,142857;361922,857143;Eq;2SS;NT;5;120;
Eq_2SS_NT_5_150;22278808,449242;0,066000;95,096740;95,198902;4336125,062240;4828763,428571;2837142,857143;1580171,428571;411449,142857;Eq;2SS;NT;5;150;
Eq_2SS_NT_5_200;29662543,259342;0,073000;94,496420;94,501418;6432771,497195;6230577,714286;3497142,857143;2226742,857143;506692,000000;Eq;2SS;NT;5;200;
Eq_2SS_NT_5_80;10903352,356620;0,077000;94,709533;94,661917;2238313,873969;2516547,428571;1465714,285714;768914,285714;281918,857143;Eq;2SS;NT;5;80;
Eq_2Y_Al_10_120;17266252,441318;0,055000;96,063723;96,023021;3019598,494124;3810781,000000;1822500,000000;1701600,000000;286681,000000;Eq;2Y;Al;10;120;
Eq_2Y_Al_10_150;23447617,797892;0,062000;95,184795;95,184971;4356918,397756;4845834,000000;2111250,000000;2387900,000000;346684,000000;Eq;2Y;Al;10;150;
